"BinomialReptileDatabase","Sex","Family","SSM","SSBF","MAX.BM","MAX.SVL","MAX.HL","MAX.HW","MAX.HH","MAX.LJL","MAX.BF"
"Anolis bahorucoensis","F","Dactyloidae",22,22,NA,31.62,10.72,5.37,4.37,10.72,1.07
"Anolis baracoae","F","Dactyloidae",3,3,NA,112.2,38.02,21.38,14.45,36.31,15.14
"Anolis barahonae","F","Dactyloidae",7,7,NA,141.25,43.65,23.99,20.89,43.65,40.74
"Anolis brevirostris","F","Dactyloidae",32,32,NA,38.9,12.02,7.24,5.37,11.75,1.91
"Anolis brunneus","F","Dactyloidae",24,24,NA,46.77,13.8,6.61,4.68,14.13,1.74
"Anolis coelestinus","F","Dactyloidae",26,26,NA,46.77,14.45,7.59,5.75,14.79,3.24
"Anolis cuvieri","F","Dactyloidae",9,9,NA,123.03,39.81,19.5,17.78,38.02,48.98
"Anolis cybotes","F","Dactyloidae",44,44,NA,45.71,15.49,8.91,7.08,15.49,4.9
"Anolis evermanni","F","Dactyloidae",44,44,NA,45.71,13.8,7.76,5.75,14.13,1.48
"Anolis garmani","F","Dactyloidae",16,16,NA,74.13,20.89,11.48,8.91,21.88,5.5
"Anolis grahami","F","Dactyloidae",17,17,NA,44.67,13.49,7.24,5.25,13.8,1.32
"Anolis krugi","F","Dactyloidae",14,14,NA,31.62,10,5.62,4.68,10.23,1.07
"Anolis olssoni","F","Dactyloidae",31,31,NA,38.9,10.72,5.13,4.27,11.22,1.1
"Anolis sheplani","F","Dactyloidae",16,16,NA,37.15,10.47,4.37,4.27,10.72,1.23
"Anolis singularis","F","Dactyloidae",18,18,NA,33.88,10.72,6.17,4.68,11.22,1.2
"Anolis smaragdinus","F","Dactyloidae",51,51,NA,44.67,13.18,6.46,4.37,13.49,1.15
"Anolis stratulus","F","Dactyloidae",28,28,NA,38.02,11.75,6.61,4.9,11.75,1.02
"Pogona vitticeps","F","Agamidae",11,11,236.38,184.64,42.23,37.89,24.62,52.2,52.66
"Acanthodactylus pardalis","F","Lacertidae",1,1,NA,60.69,13.42,8.35,6.69,NA,1.88
"Gallotia galloti","F","Lacertidae",24,24,NA,92.1,22.9,14.7,11.6,NA,34.6
"Archaeolacerta bedriagae","F","Lacertidae",7,7,NA,63.1,15.6,9.3,6.2,NA,3.8
"Lacerta bilineata","F","Lacertidae",2,2,NA,98.2,23.2,14,11.2,NA,14.5
"Latastia longicaudata","F","Lacertidae",4,4,NA,76.6,17.8,9.5,7.9,NA,4.6
"Psammodromus algirus","F","Lacertidae",6,6,NA,63.2,14.8,9,6.8,NA,5.2
"Podarcis liolepis","F","Lacertidae",9,9,NA,58.4,12.8,7,5.4,NA,2.6
"Podarcis hispanicus","F","Lacertidae",17,17,NA,53.8,12.1,7,4.9,NA,2.1
"Podarcis lilfordi","F","Lacertidae",14,14,NA,60.7,14.9,8.5,6.5,NA,6
"Podarcis tiliguerta","F","Lacertidae",11,11,NA,50.1,11.4,6.1,4.6,NA,1.1
"Anolis cristatellus","F","Dactyloidae",18,18,2.53,45.22,12.04,8.07,7.34,13.5,7.906
"Anolis oculatus","F","Dactyloidae",15,15,6.82,61.82,15.43,10.62,8.59,19.79,24.187
"Iberolacerta horvathi","F","Lacertidae",25,25,NA,66.1,20.6,8.2,5.6,NA,1.3395
"Ablepharus kitaibelii","F","Scincidae",5,5,0.76,41.75,6.27,3.45,2.47,5.78,0.21
"Tarentola mauritanica","F","Phyllodactylidae",18,18,NA,66.86,19.75,15.79,8.89,NA,3.23
"Tupinambis teguixin","F","Teiidae",2,2,NA,305,NA,NA,NA,NA,90
"Salvator merianae","F","Teiidae",9,9,NA,348,70.67,NA,NA,NA,312.94
