BinomialReptileDatabase,Sex,Family,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl
Anolis equestris,M,Lacertidae,10,10,57.62,NA,157.35,49.3,28.89,20.94,49.75
Anolis gundlachi,M,Lacertidae,28,28,6.65,NA,63.25,19.8,10.44,8.6,19.92
Anolis pulchellus,M,Lacertidae,36,36,2.52,NA,42.13,13.43,6.3,5.36,13.68
Anolis distichus,M,Lacertidae,83,83,2.8,NA,46.81,13.27,8.59,6.1,13.44
Anolis valencienni,M,Lacertidae,23,23,6.7,NA,67.47,19.89,9.59,7.97,19.96
Trogonophis wiegmanni,M,Trogonophidae,15,15,5.2,6.83,158.47,6.96,5.09,4.07,NA
Anolis allisoni,M,Dactyloidae,9,9,5.25,NA,70.79,24.55,14.45,7.59,23.44
Anolis angusticeps,M,Dactyloidae,57,57,1.58,NA,43.65,13.49,6.17,4.57,13.8
Anolis bahorucoensis,M,Dactyloidae,30,30,2.14,NA,38.9,13.18,6.31,5.13,13.49
Anolis baracoae,M,Dactyloidae,2,2,23.99,NA,123.03,41.69,13.8,17.38,41.69
Anolis barahonae,M,Dactyloidae,32,32,48.98,NA,147.91,44.67,25.7,22.91,45.71
Anolis brevirostris,M,Dactyloidae,64,64,3.98,NA,44.67,13.49,8.13,5.89,13.18
Anolis brunneus,M,Dactyloidae,53,53,4.57,NA,61.66,19.5,9.12,6.61,20.89
Anolis coelestinus,M,Dactyloidae,70,70,10,NA,61.66,19.05,10.23,7.94,19.5
Anolis cuvieri,M,Dactyloidae,10,10,72.44,NA,131.83,42.66,21.88,19.05,41.69
Anolis cybotes,M,Dactyloidae,61,61,11.75,NA,57.54,19.95,11.75,9.55,19.5
Anolis evermanni,M,Dactyloidae,60,60,2.69,NA,54.95,16.22,9.33,6.92,16.98
Anolis garmani,M,Dactyloidae,23,23,11.48,NA,91.2,26.3,14.45,11.75,27.54
Anolis grahami,M,Dactyloidae,23,23,4.79,NA,58.88,17.78,10,7.24,18.62
Anolis krugi,M,Dactyloidae,39,39,1.91,NA,38.9,12.88,6.76,5.89,12.88
Anolis olssoni,M,Dactyloidae,29,29,2.57,NA,43.65,12.3,5.89,5.13,13.18
Anolis singularis,M,Dactyloidae,16,16,2.51,NA,38.9,12.3,6.76,5.25,12.88
Anolis smaragdinus,M,Dactyloidae,54,54,2.88,NA,53.7,16.6,8.32,5.75,17.38
Anolis stratulus,M,Dactyloidae,38,38,1.82,NA,44.67,13.8,7.76,5.5,13.8
Iberolacerta horvathi,M,Lacertidae,26,26,2.489,NA,61.6,21.3,8.6,5.6,NA
Podarcis muralis,M,Lacertidae,30,30,13.64,8.75,71,19,9,NA,NA
Tarentola mauritanica,M,Phyllodactylidae,12,12,5.48,NA,77.13,21.93,18.6,10.16,NA
Gallotia galloti,M,Lacertidae,56,16,108.57,NA,109.65,28.18,18.62,14.79,NA
Aspidoscelis sexlineatus,M,Teiidae,112,112,4.33,NA,65.4,16.17,8.54,7.26,NA
Dipsosaurus dorsalis,M,Iguanidae,10,10,18.99,NA,125.74,22.38,19.15,14.17,NA
Callisaurus draconoides,M,Phrynosomatidae,12,12,4.79,NA,83.04,15.66,12.59,8.8,NA
Sceloporus undulatus,M,Phrynosomatidae,16,16,3.57,NA,59.64,12.8,10.7,7.17,NA
Pogona vitticeps,M,Agamidae,8,8,112.39,NA,217.76,38.1,48.37,29.06,NA
Stellagama stellio,M,Agamidae,4,4,22.23,NA,95.79,23.64,23.42,12.93,NA
Uromastix acanthinura,M,Agamidae,4,4,68.39,NA,159.46,31.79,32.69,18.81,NA
Smaug mossambicus,M,Cordylidae,5,5,19.31,NA,109.03,30.29,24.93,13.92,NA
Eulamprus heatwolei,M,Scincidae,3,3,16.66,NA,109.17,21.37,13.7,11.24,NA
Corucia zebrata,M,Scincidae,2,2,206.85,NA,275,50.6,48.88,36.03,NA
Tiliqua rugosa,M,Scincidae,13,13,161.64,NA,282.44,45.9,51.64,33.21,NA
Psammodromus algirus,M,Lacertidae,9,9,11.52,NA,74.84,18.34,11.61,8.77,NA
Podarcis lilfordi,M,Lacertidae,8,8,10.71,NA,62.08,16.44,9.63,7.71,NA
Aspidoscelis tigris,M,Teiidae,5,5,6.69,NA,77.26,18.97,10.28,8.87,NA
Varanus exanthematicus,M,Varanidae,7,7,86.61,NA,237.9,48.01,33.58,23.99,NA
Acanthodactylus pardalis,M,Lacertidae,5,5,4.9,NA,59,14.4,9.5,8.1,NA
Archaeolacerta bedriagae,M,Lacertidae,14,14,7.2,NA,67.9,18.3,10.9,6.9,NA
Lacerta bilineata,M,Lacertidae,2,2,23.3,NA,90.4,24.4,15.8,11.8,NA
Latastia longicaudata,M,Lacertidae,3,3,7,NA,90.4,20.5,11.2,9.5,NA
Podarcis liolepis,M,Lacertidae,6,6,7.8,NA,63.7,16,9.1,7.2,NA
Podarcis hispanicus,M,Lacertidae,10,10,4.3,NA,55.4,14.3,8.4,5.9,NA
Podarcis tiliguerta,M,Lacertidae,18,18,3.6,NA,55.1,14.6,7.9,6,NA
Podarcis siculus,M,Lacertidae,NA,NA,11.25,6.38,69.54,16.33,9.13,7.35,17.45
Salvator merianae,M,Teiidae,10,10,534.24,NA,425,99.65,NA,NA,NA
Gekko gecko,M,Gekkonidae,5,5,29.1,33.7,123.9,NA,NA,NA,NA
Anolis sagrei,M,Dactyloidae,27,27,7.99,NA,58.13,16.27,NA,NA,NA
Tupinambis teguixin,M,Teiidae,3,3,105,NA,317.33,NA,NA,NA,NA
