Citation,BinomialStudy,BinomialReptileDatabase,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten,BinominalMieri,Notes
"Dollion, et al., 2017",Bradypodion caeruleogula,Bradypodion caeruleogula,Afrotropic,Arboreal,Carnivorous,,,,,
"Dollion, et al., 2017",Bradypodion caffer,Bradypodion caffer,Afrotropic,Arboreal,Carnivorous,,,,,
"Dollion, et al., 2017",Bradypodion damaranum,Bradypodion damaranum,Afrotropic,Arboreal,Carnivorous,,,,,
"Dollion, et al., 2017",Bradypodion kentanicum,Bradypodion kentanicum,Afrotropic,Arboreal,Carnivorous,,,,,
"Da Silva, et al., 2014",Bradypodion melanocephalum,Bradypodion melanocephalum,Afrotropic,Arboreal,Carnivorous,,,,,
"Dollion, et al., 2017",Bradypodion nemorale,Bradypodion nemorale,Afrotropic,Arboreal,Carnivorous,,,,,
"Segall, et al., 2013",Bradypodion occidentale,Bradypodion occidentale,Afrotropic,Arboreal,Carnivorous,,,,,
"Segall, et al., 2013",Bradypodion pumilum,Bradypodion pumilum,Afrotropic,Arboreal/Terrestrial,Carnivorous,,,,,
"Dollion, et al., 2017",Bradypodion setaroi,Bradypodion setaroi,Afrotropic,Arboreal,Carnivorous,,,,,
"Dollion, et al., 2017",Bradypodion taeniabronchum,Bradypodion taeniabronchum,Afrotropic,Arboreal,Carnivorous,,,,,
"Da Silva, et al., 2014",Bradypodion thamnobates,Bradypodion thamnobates,Afrotropic,Arboreal,Carnivorous,,,,,
"Dollion, et al., 2017",Bradypodion transvaalense,Bradypodion transvaalense,Afrotropic,Arboreal,Carnivorous,,,,,
"Dollion, et al., 2017",Bradypodion ventrale,Bradypodion ventrale,Afrotropic,Arboreal,Carnivorous,,,,,
"Herrel, 2007",Callisaurus draconoides,Callisaurus draconoides,Neartic,Terrestrial,Carnivorous,Carnivorous,,,,
"D'Amore, et al., 2018",Carlia triacantha,Carlia triacantha,Australasia,Terrestrial,Carnivorous,,,,,
"Guilloux, et al., 2020",Chalcides ocellatus,Chalcides ocellatus,Paleartic,Cryptic,Carnivorous,,,,,
"Guilloux, et al., 2020",Chalcides sepsoides,Chalcides sepsoides,Paleartic,Fossorial,Omnivorous,,,,,
"Herrel, 2007",Cnemidophorus tigris,Aspidoscelis tigris,Neartic,Terrestrial,Carnivorous,Carnivorous,,,Aspidoscelis tigris,
"Meyers & Irschick, 2015",Cophosaurus texanum,Cophosaurus texanus,Neartic,Terrestrial/Saxicolous,Carnivorous,Carnivorous,,,Cophosaurus texanus,
"Herrel, 2007",Cordylus mossambicus,Smaug mossambicus,Afrotropic,Saxicolous,Carnivorous,,,,Smaug mossambicus,Diet data inferred from wikipedia
"Herrel, 2007",Corucia zebrata,Corucia zebrata,Australasia,Arboreal,Herbivorous,Herbivorous,Herbivorous,100,,
"Husak, et al., 2006",Crotaphytus antiquus,Crotaphytus antiquus,Neartic,Saxicolous,Carnivorous,,,,,
"Meyers & Irschick, 2015",Crotaphytus collaris,Crotaphytus collaris,Neartic,Terrestrial/Saxicolous,Carnivorous,,,,,
"D'Amore, et al., 2018",Cryptoblepharus metallicus,Cryptoblepharus metallicus,Australasia,Arboreal/Saxicolous,Carnivorous,,,,,Diet inferred from paper
McLean & Stuart-Fox 2015,Ctenophorus maculosus,Ctenophorus maculosus,Australasia,Terrestrial,Carnivorous,,,,,Mieiri states Australia as MBR
"D'Amore, et al., 2018",Ctenotus inornatus,Ctenotus inornatus,Australasia,Terrestrial,Carnivorous,,,,,
"D'Amore, et al., 2018",Ctenotus robustus,Ctenotus robustus,Australasia,Terrestrial,Omnivorous,,,,,
"Vicenzi, et al., 2020",Diplolaemus leopardinus,Diplolaemus leopardinus,Neotropic,Terrestrial,Carnivorous,,,,,
"Herrel, 2007",Dipsosaurus dorsalis,Dipsosaurus dorsalis,Neartic,Terrestrial,Herbivorous,Herbivorous,Herbivorous,97.3,,
"Schaerlaeken, et al., 2012",Dracaena guianensis,Dracaena guianensis,Neotropic,Arboreal/Semi-Aquatic,Carnivorous,Carnivorous,,,,
"McBrayer and Anderson, 2007",Elgaria coerulea,Elgaria coerulea,Neartic,Terrestrial/Cryptic,Carnivorous,,,,,
"Meyers & Irschick, 2015",Elgaria kingii,Elgaria kingii,Neartic,Terrestrial/Cryptic,Carnivorous,,,,,
"D'Amore, et al., 2018",Eremiascincus isolepis,Eremiascincus isolepis,Australasia,Terrestrial,Carnivorous,Carnivorous,,,,In Metzger DB taxa is named Glaphyromorphus isolepis
"Herrel, 2007",Eulamprus heathwoli,Eulamprus heatwolei,Australasia,Semi-Aquatic,Carnivorous,Carnivorous,,,Eulamprus heatwolei,
"Simon, et al., 2019",Eurolophosaurus nanuzae,Eurolophosaurus nanuzae,Neotropic,Saxicolous,Carnivorous,,,,,
Lopez-Darias et al. 2015,Gallotia atlantica,Gallotia atlantica,Paleartic,Terrestrial/Saxicolous,Omnivorous,,,,,
Lopez-Darias et al. 2015,Gallotia bravoana,Gallotia bravoana,Paleartic,Terrestrial,Herbivorous,,,,,
Lopez-Darias et al. 2015,Gallotia caesaris,Gallotia caesaris,Paleartic,Terrestrial/Saxicolous,Omnivorous,,,,,
"Herrel, et al., 1999 ",Gallotia galloti,Gallotia galloti,Paleartic,Terrestrial,Herbivorous,Herbivorous,,,,
Lopez-Darias et al. 2015,Gallotia intermedia,Gallotia intermedia,Paleartic,Saxicolous,Omnivorous,,,,,
Lopez-Darias et al. 2015,Gallotia simonyi,Gallotia simonyi,Paleartic,Terrestrial,Herbivorous,,,,,
