"BinomialReptileDatabase","Sex","Family","SSM","SSBF","SD.BM","SD.SVL","SD.HL","SD.HW","SD.HH","SD.LJL","SD.BF"
"Podarcis hispanicus","F","Lacertidae",17,17,NA,56.8,12.7,7.5,5.3,NA,2.6
"Podarcis lilfordi","F","Lacertidae",14,14,NA,63.7,16,9.3,7.1,NA,7.5
"Podarcis tiliguerta","F","Lacertidae",11,11,NA,54.2,12.1,6.5,5.2,NA,1.5
"Anolis cristatellus","F","Dactyloidae",18,18,2.36,44.08,11.55,7.95,6.78,13.25,5.83
"Anolis oculatus","F","Dactyloidae",15,15,5.14,58.16,14.99,9.73,7.69,17.79,16.29
"Iberolacerta horvathi","F","Lacertidae",25,25,NA,63.3,20.1,7.74,5.08,NA,1.14
"Ablepharus kitaibelii","F","Scincidae",5,5,0.89,43.09,6.66,3.68,2.66,6.15,0.25
"Tarentola mauritanica","F","Phyllodactylidae",18,18,NA,61.44,17.94,14.49,8.11,NA,2.53
"Tupinambis teguixin","F","Teiidae",2,2,NA,317.72,NA,NA,NA,NA,63.66
"Salvator merianae","F","Teiidae",9,9,NA,343.83,68.57,NA,NA,NA,287.53
