BinomialReptileDatabase,Sex,Family,HigherTaxonomy,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten
Anolis pulchellus,F,Dactyloidae,Iguania,7,7,2.48,NA,40.09,12.74,6.13,4.96,12.99,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis sagrei,F,Dactyloidae,Iguania,38,37,2.09,2.29,50.65,NA,NA,NA,NA,Neotropic,Arboreal/Saxicolous,Carnivorous,NA,NA,NA
Anolis sheplani,F,Dactyloidae,Iguania,16,16,1.23,NA,37.15,10.47,4.37,4.27,10.72,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis singularis,F,Dactyloidae,Iguania,18,18,1.2,NA,33.88,10.72,6.17,4.68,11.22,Neotropic,Arboreal,NA,NA,NA,NA
Anolis smaragdinus,F,Dactyloidae,Iguania,51,51,1.15,NA,44.67,13.18,6.46,4.37,13.49,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis stratulus,F,Dactyloidae,Iguania,28,28,1.02,NA,38.02,11.75,6.61,4.9,11.75,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis valencienni,F,Dactyloidae,Iguania,20,20,3.31,NA,61.18,17.04,8.11,6.45,17.05,Neotropic,Arboreal/Terrestrial,Omnivorous,NA,NA,NA
Bradypodion caeruleogula,F,Chamaeleonidae,Iguania,2,3,5.62,NA,44.53,NA,NA,NA,NA,Afrotropic,Arboreal,Carnivorous,NA,NA,NA
Bradypodion caffer,F,Chamaeleonidae,Iguania,10,10,12.65,NA,57.54,NA,NA,NA,NA,Afrotropic,Arboreal,Carnivorous,NA,NA,NA
Bradypodion damaranum,F,Chamaeleonidae,Iguania,9,9,17.84,NA,58.63,NA,NA,NA,NA,Afrotropic,Arboreal,Carnivorous,NA,NA,NA
Bradypodion kentanicum,F,Chamaeleonidae,Iguania,2,5,7.88,NA,51.98,NA,NA,NA,NA,Afrotropic,Arboreal,Carnivorous,NA,NA,NA
Bradypodion melanocephalum,F,Chamaeleonidae,Iguania,16,15,13.88,NA,57.47,11.23,7.33,6.89,11.05,Afrotropic,Arboreal,Carnivorous,NA,NA,NA
Bradypodion nemorale,F,Chamaeleonidae,Iguania,19,20,9.32,NA,56.64,NA,NA,NA,NA,Afrotropic,Arboreal,Carnivorous,NA,NA,NA
Bradypodion occidentale,F,Chamaeleonidae,Iguania,9,9,33.9,NA,86.58,NA,NA,NA,NA,Afrotropic,Arboreal,Carnivorous,NA,NA,NA
Bradypodion pumilum,F,Chamaeleonidae,Iguania,22,23,12.29,NA,58.49,NA,NA,NA,NA,Afrotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Bradypodion setaroi,F,Chamaeleonidae,Iguania,15,15,11.98,NA,58.33,NA,NA,NA,NA,Afrotropic,Arboreal,Carnivorous,NA,NA,NA
Bradypodion taeniabronchum,F,Chamaeleonidae,Iguania,18,27,3.28,NA,50.82,NA,NA,NA,NA,Afrotropic,Arboreal,Carnivorous,NA,NA,NA
Bradypodion thamnobates,F,Chamaeleonidae,Iguania,17,12,34.25,NA,66.34,NA,NA,NA,NA,Afrotropic,Arboreal,Carnivorous,NA,NA,NA
Bradypodion transvaalense,F,Chamaeleonidae,Iguania,10,10,17.45,NA,66.14,NA,NA,NA,NA,Afrotropic,Arboreal,Carnivorous,NA,NA,NA
Bradypodion ventrale,F,Chamaeleonidae,Iguania,19,19,12.66,NA,67.47,NA,NA,NA,NA,Afrotropic,Arboreal,Carnivorous,NA,NA,NA
Crotaphytus antiquus,F,Crotaphytidae,Iguania,12,12,23.3,34,93.8,25.6,19.9,19.9,NA,Neartic,Saxicolous,Carnivorous,NA,NA,NA
Gallotia atlantica,F,Lacertidae,Lacertoidea,18,18,8.4,7.8,63.4,14.5,8.3,6,15.5,Paleartic,Terrestrial/Saxicolous,Omnivorous,NA,NA,NA
Gallotia bravoana,F,Lacertidae,Lacertoidea,15,15,104.4,159.2,172.3,38.3,26.2,19.8,40.1,Paleartic,Terrestrial,Herbivorous,NA,NA,NA
