BinomialReptileDatabase,Sex,Family,HigherTaxonomy,SSM,SSBF,bf_plus_sd,bm_plus_sd,svl_plus_sd,hl_plus_sd,hw_plus_sd,hh_plus_sd,ljl_plus_sd,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten
Anolis oxylophus,M,Dactyloidae,Iguania,5,5,10.906888370749726,NA,67.65167917407439,16.66150923032491,9.461509230324909,7.972066511224917,17.432329623574848,Neotropic,Semi-Aquatic,Carnivorous,NA,NA,NA
Anolis poecilopus,M,Dactyloidae,Iguania,17,17,15.898484500494128,NA,70.6757192880806,17.548314293892062,9.594772675074118,7.553541618817943,17.889545350148236,Neotropic,Semi-Aquatic,Carnivorous,NA,NA,NA
Anolis pulchellus,M,Dactyloidae,Iguania,39,39,3.88,NA,42.79,14.33,7.37,6.54,14.64,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis sagrei,M,Dactyloidae,Iguania,27,27,10.23,NA,63.980000000000004,17.79,NA,NA,NA,Neotropic,Arboreal/Saxicolous,Carnivorous,NA,NA,NA
Anolis sheplani,M,Dactyloidae,Iguania,9,9,2.34,NA,39.97,12.290000000000001,5.640000000000001,5.57,12.530000000000001,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis singularis,M,Dactyloidae,Iguania,16,16,4.42,NA,40,13.4,7.88,6.4,14,Neotropic,Arboreal,NA,NA,NA,NA
Anolis smaragdinus,M,Dactyloidae,Iguania,54,54,4.43,NA,54.82,17.700000000000003,9.440000000000001,6.87,18.5,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis stratulus,M,Dactyloidae,Iguania,38,38,2.99,NA,45.72,14.850000000000001,8.83,6.6,14.850000000000001,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis valencienni,M,Dactyloidae,Iguania,23,23,9.8,NA,72.19,21.810000000000002,10.54,8.959999999999999,21.95,Neotropic,Arboreal/Terrestrial,Omnivorous,NA,NA,NA
Aspidoscelis sexlineatus,M,Teiidae,Lacertoidea,112,112,5.705790681753587,NA,70.69150262212919,17.545790681753587,9.492470471983252,8.10664041954067,NA,Neartic,Terrestrial,Carnivorous,NA,NA,NA
Bradypodion melanocephalum,M,Chamaeleonidae,Iguania,25,23,13.479999999999999,NA,50.02,12.4,8.02,13.870000000000001,12.39,Afrotropic,Arboreal,Carnivorous,NA,NA,NA
Bradypodion thamnobates,M,Chamaeleonidae,Iguania,20,20,41.46,NA,63.27,17.03,12.91,10.96,17.580000000000002,Afrotropic,Arboreal,Carnivorous,NA,NA,NA
Crotaphytus antiquus,M,Crotaphytidae,Iguania,18,18,61.494826817189065,52.279393923933995,108.46101730552664,30.794112549695427,26.04558441227157,NA,NA,Neartic,Saxicolous,Carnivorous,NA,NA,NA
Ctenophorus maculosus,M,Agamidae,Iguania,32,32,11.89,11.88,68.84,NA,15.03,9.860000000000001,19.580000000000002,Australasia,Terrestrial,Carnivorous,NA,NA,NA
Gallotia galloti,M,Lacertidae,Lacertoidea,56,16,148.78,NA,110.76,29.34,19.79,16,NA,Paleartic,Terrestrial,Herbivorous,Herbivorous,NA,NA
Iberolacerta horvathi,M,Lacertidae,Lacertoidea,26,26,1.9100000000000001,NA,57.65,20.46,8.02,5.26,NA,Paleartic,Saxicolous,Carnivorous,NA,NA,NA
Karusasaurus polyzonus,M,Cordylidae,Scincoidea,16,16,46.82,NA,108.34,27.6,23.689999999999998,13.950000000000001,28.29,Afrotropic,Saxicolous,Carnivorous,NA,NA,NA
Archaeolacerta bedriagae,M,Lacertidae,Lacertoidea,14,14,11,NA,77.2,21.2,12.700000000000001,8.1,NA,Paleartic,Saxicolous,Omnivorous,Omnivorous,Omnivorous,50
Lacerta bilineata,M,Lacertidae,Lacertoidea,2,2,23.5,NA,92.9,25.9,16.1,12.100000000000001,NA,Paleartic,Terrestrial,Carnivorous,Carnivorous,NA,NA
Dalmatolacerta oxycephala,M,Lacertidae,Lacertoidea,34,34,7.9,NA,61.4,16.1,9.1,6.7,16.2,Paleartic,Saxicolous,Carnivorous,NA,NA,NA
Lacerta trilineata,M,Lacertidae,Lacertoidea,12,12,78.84,NA,15.23,4.87,2.96,2.6,3.27,Paleartic,Arboreal/Terrestrial/Saxicolous,Omnivorous,NA,NA,NA
Zootoca vivipara,M,Lacertidae,Lacertoidea,20,20,2.5,3.58,52.78,11.48,7.15,5.8,11.76,Paleartic,Terrestrial,Carnivorous,Carnivorous,NA,NA
Latastia longicaudata,M,Lacertidae,Lacertoidea,3,3,9,NA,95.80000000000001,21.7,11.7,10,NA,Afrotropic,Terrestrial,Carnivorous,Carnivorous,NA,NA
Liolaemus baguali,M,Liolaemidae,Iguania,6,6,16.98266828073658,NA,99.54850479013726,21.222418306772823,14.738025460788357,9.150704050814243,22.30736728105114,Neotropic,Terrestrial,Carnivorous,NA,NA,NA
Liolaemus bibronii,M,Liolaemidae,Iguania,4,4,3.81,NA,56.65,12.129999999999999,8.28,5.93,12.15,Neotropic,Terrestrial,Carnivorous,NA,NA,NA
Liolaemus canqueli,M,Liolaemidae,Iguania,7,7,16.812208824175237,NA,101.15980314655502,19.741215550647127,12.672248194864233,9.896862696659689,20.99579068175359,Neotropic,Arboreal/Terrestrial,Omnivorous,NA,NA,NA
